"source_artifact_name"	"artifact_category"	"source_size"	"source_checksum"	"publication_action"	"exclusion_reason"	"published_relative_path"	"published_checksum"
"manifest/candidate_target_files.txt"	"closure_artifact"	"91"	"fdd39d4daf7cedeb57255a4ee77fce619762f6143fca75fd525b2e7b2a5d99b3"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"manifest/canonical_files.sha256.tsv"	"closure_artifact"	"484"	"25d54b86ba8c95ebf162b242a168c4816583b40f16522e8c3b1dedc92b126c5a"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"manifest/downloaded_files.sha256.tsv"	"closure_artifact"	"549"	"ca15b848334002475e3021330041e9c14034e221da320c42da47a8de2a090dda"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"manifest/implemented_contracts.txt"	"closure_artifact"	"11590"	"78ebb95448fa012a94a8639b7eaed3cc01b09aeef06103eb957dd1fc6a31b73c"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"manifest/preparation_log.txt"	"closure_artifact"	"3985"	"ce83731f568186f478b7013b7c564f699f4aef9a6e87ca85a0594d27c135f07c"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"manifest/raw_files.sha256.tsv"	"closure_artifact"	"571"	"eea4f5f028f813a0732c15f9067b96a032634e603b2abc4585bdd285f2d1c1e5"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"manifest/real-v6-release-closure-summary.json"	"closure_artifact"	"771"	"f2de47ebdab61c082063415c882b024f8eae3c828736509019c4cf5ac3a1aaf9"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"manifest/real-v6-run-a-vs-run-b-reproducibility.json"	"closure_artifact"	"3157"	"5a6e42403dd95df69f6a3225a2d5065de8c520120cbde07ecb7dd493e83da374"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"manifest/real_config_build.log"	"closure_artifact"	"2775"	"d3ec35d1fe36a7516ea3f2d798d993f3f1664d16805b0c565551bae512463a53"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"manifest/real_config_v2_build.log"	"closure_artifact"	"2740"	"b1ca1b441ed12395407f9cc5824190e12851aa1a700a02d33e8cda3e427112b7"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"manifest/remaining_contracts.txt"	"closure_artifact"	"11146"	"a87854016324d0aa43cd1d8b3803792f389a8e6664d0dc23ff2187e0d4d885c0"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"manifest/reproducibility_cli_contract.txt"	"closure_artifact"	"2916"	"123a3904d4245ffb76db1f00922ae90b4b8ab44afaf1ebc09e5814d1f980a364"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"manifest/unknown_source_class_diagnostic.txt"	"closure_artifact"	"6310"	"f94c6c9ea0dd251c1f8b3bd9272b661aa1825df79f1ab5c42fae0f274583eaca"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"manifest/windows-zone-identifiers/CRISPRGeneDependency.csvZone.Identifier"	"raw_or_redistributable"	"25"	"b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe"	"excluded"	"raw or redistributable DepMap source data"	""	""
"manifest/windows-zone-identifiers/CRISPRGeneEffect.csvZone.Identifier"	"raw_or_redistributable"	"25"	"b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe"	"excluded"	"raw or redistributable DepMap source data"	""	""
"manifest/windows-zone-identifiers/CRISPRInferredCommonEssentials.csvZone.Identifier"	"closure_artifact"	"25"	"b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"manifest/windows-zone-identifiers/Gene.csvZone.Identifier"	"closure_artifact"	"25"	"b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"manifest/windows-zone-identifiers/Model.csvZone.Identifier"	"raw_or_redistributable"	"25"	"b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe"	"excluded"	"raw or redistributable DepMap source data"	""	""
"manifest/windows-zone-identifiers/README.txtZone.Identifier"	"closure_artifact"	"25"	"b952d24cf701bc4e7a7d21e1ae85c611824e80579a89836c0cb49b193446ccfe"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"CRISPRGeneDependency.csv"	"raw_source"	"432362817"	"5de498b8fba15897f4f4d6a93681c25d5d41fdbc29f82a5968abb113cc553308"	"excluded"	"raw or redistributable DepMap source data"	""	""
"CRISPRGeneEffect.csv"	"raw_source"	"440646050"	"e610a4cefb13a82b5b256b47eb08b63ff14843f8dbd0fb164bc0a32688e5b89e"	"excluded"	"raw or redistributable DepMap source data"	""	""
"CRISPRInferredCommonEssentials.csv"	"raw_source"	"25021"	"c21c92c52579182a7c25bcab1f7e9ec0a54cd09d10677f7e0f1e42558303e6c8"	"excluded"	"raw or redistributable DepMap source data"	""	""
"Gene.csv"	"raw_source"	"17440425"	"0f668e0fb4356a82b791a4a4f037b223b266a589177f7b1c173cc241e33422ea"	"excluded"	"raw or redistributable DepMap source data"	""	""
"Model.csv"	"raw_source"	"697455"	"ea4e0b2a3bc806f81df62689a5ae75f1a100135727a3d7b8a4c7ccc8815183f8"	"excluded"	"raw or redistributable DepMap source data"	""	""
"README.txt"	"raw_source"	"47292"	"350161496c7bda9031fe9ebfaa5df51fede813362dcc36b287607af568fcb9b5"	"excluded"	"raw or redistributable DepMap source data"	""	""
